Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
slide1,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide1.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide2,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide2.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide3,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide3.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide4,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide4.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide5,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide5.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide6,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide6.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide7,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide7.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide8,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide8.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide9,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide9.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide10,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide10.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
slide11,https://cogo-dashboards.s3.us-east-1.amazonaws.com/images/blitzy/Slide11.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,no
